fueltype,energy2006,energy2007,energy2008,energy2009,energy2010,energy2011,energy2012,energy2013,energy2014,energy2015,energy2016,geography,sector,value,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,gdp2016,industrycode,lev1,lev2,lev3
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,2678.0,2658.8999,2684.5,2491,2705.3,2762.8999,2651,2564.3999,2455.2,2499.1001,2570.1001,31-33,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,994.2,968.70001,1174.2,1263.3,1422,1657.8,2066.2,2364.1001,2627.2,2584.8999,2419.7,23,1,0,0
Total primary and secondary energy,112523,119360,111000,97547,108772,103260,94138,92549,86000,88292,85568,Atlantic provinces,Total industrial,Chained (2007) dollars,1545.7,1534.6,1566.1,1923.3,2002,1715.5,1730.3,1697.9,1608.5,1711,1861.5,23,1,0,0
Total primary and secondary energy,28185,27313,27568,25102,27165,27957,24451,21076,21020,20126,16809,Atlantic provinces,Mining and oil and gas extraction,Chained (2007) dollars,10677.1,12923.1,11859.8,9186.0996,9914.2998,10021.7,8015.5,8842.7998,8125.5,7470.2002,8560.2998,21,0,1,0
Total primary and secondary energy,28185,27313,27568,25102,27165,27957,24451,21076,21020,20126,16809,Atlantic provinces,Mining and oil and gas extraction,Chained (2007) dollars,0.5,1.6,3.0999999,1.8,1.4,1.5,1.8,1.7,1.5,1.5,1.6,21,0,1,0
Total primary and secondary energy,28185,27313,27568,25102,27165,27957,24451,21076,21020,20126,16809,Atlantic provinces,Mining and oil and gas extraction,Chained (2007) dollars,804.5,859.09998,933,590.5,642.90002,631.5,577.79999,348.60001,265.20001,305.39999,215.7,21,0,1,0
Total primary and secondary energy,28185,27313,27568,25102,27165,27957,24451,21076,21020,20126,16809,Atlantic provinces,Mining and oil and gas extraction,Chained (2007) dollars,1344.1,1421.9,1473.7,1213.7,1132,930.20001,689.70001,586.40002,881.29999,711.5,677.29999,21,0,1,0
Total primary and secondary energy,76180,83330,75246,66150,70835,64478,60031,62887,55287,56258,57147,Atlantic provinces,Total manufacturing,Chained (2007) dollars,1024.3,1027.1,1079.2,934.5,932.40002,909.90002,1022.4,1002.8,956.5,984.29999,906.40002,31-33,0,1,0
Total primary and secondary energy,76180,83330,75246,66150,70835,64478,60031,62887,55287,56258,57147,Atlantic provinces,Total manufacturing,Chained (2007) dollars,3079.0,2923.3999,2756.3999,2737.2,2884,2869.8,2794.1001,2908.1001,2788.2,2942.7,2948.6001,31-33,0,1,0
Total primary and secondary energy,76180,83330,75246,66150,70835,64478,60031,62887,55287,56258,57147,Atlantic provinces,Total manufacturing,Chained (2007) dollars,2678.0,2658.8999,2684.5,2491,2705.3,2762.8999,2651,2564.3999,2455.2,2499.1001,2570.1001,31-33,0,1,0
Total primary and secondary energy,76180,83330,75246,66150,70835,64478,60031,62887,55287,56258,57147,Atlantic provinces,Total manufacturing,Chained (2007) dollars,371.1,405.10001,406.5,388.5,371.29999,376.29999,393.10001,422.89999,467.89999,483,495.70001,31-33,0,1,0
Total primary and secondary energy,42351,47842,40024,32985,29509,27435,20130,24823,21668,24929,26581,Atlantic provinces,Pulp and paper manufacturing,Chained (2007) dollars,145.2,220.10001,219.39999,171.8,208.2,190.2,125.8,162.3,167.39999,162.3,147,322,0,0,1
Total primary and secondary energy,42351,47842,40024,32985,29509,27435,20130,24823,21668,24929,26581,Atlantic provinces,Pulp and paper manufacturing,Chained (2007) dollars,11.0,13.4,12.7,11.4,9.1999998,9.8000002,11.5,9.3000002,10.5,10.8,11.5,322,0,0,1
Total primary and secondary energy,42351,47842,40024,32985,29509,27435,20130,24823,21668,24929,26581,Atlantic provinces,Pulp and paper manufacturing,Chained (2007) dollars,300.2,322.29999,278.10001,226.8,270.29999,250.89999,236.8,297.89999,320.5,344.60001,353.60001,322,0,0,1
Total primary and secondary energy,42351,47842,40024,32985,29509,27435,20130,24823,21668,24929,26581,Atlantic provinces,Pulp and paper manufacturing,Chained (2007) dollars,111.6,100.8,108.1,51.299999,41.5,41.099998,38.900002,32.700001,47.299999,44.599998,40.299999,322,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,x,4,4,4,Atlantic provinces,Primary metal manufacturing,Chained (2007) dollars,4.9,3.7,2,1.5,.80000001,.80000001,.80000001,1.2,.80000001,1.1,.89999998,331,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,x,4,4,4,Atlantic provinces,Primary metal manufacturing,Chained (2007) dollars,2.4,1.9,.5,.1,.1,.1,.1,.2,.1,25.9,47.099998,331,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,x,4,4,4,Atlantic provinces,Primary metal manufacturing,Chained (2007) dollars,0.1,.1,2.2,11.3,9,6.5999999,5.8000002,6.4000001,1.6,1.6,1.8,331,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,x,4,4,4,Atlantic provinces,Primary metal manufacturing,Chained (2007) dollars,143.6,152.89999,162.2,195.10001,230.60001,269.39999,227.10001,259.60001,263.29999,350.60001,355,331,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,x,x,x,x,Atlantic provinces,Primary metal manufacturing,Chained (2007) dollars,2.4,1.9,.5,.1,.1,.1,.1,.2,.1,25.9,47.099998,331,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,x,x,x,x,Atlantic provinces,Primary metal manufacturing,Chained (2007) dollars,0.1,.1,2.2,11.3,9,6.5999999,5.8000002,6.4000001,1.6,1.6,1.8,331,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,x,x,x,x,Atlantic provinces,Primary metal manufacturing,Chained (2007) dollars,4.9,3.7,2,1.5,.80000001,.80000001,.80000001,1.2,.80000001,1.1,.89999998,331,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,x,x,x,x,Atlantic provinces,Primary metal manufacturing,Chained (2007) dollars,143.6,152.89999,162.2,195.10001,230.60001,269.39999,227.10001,259.60001,263.29999,350.60001,355,331,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,x,x,x,x,Atlantic provinces,Cement manufacturing,Chained (2007) dollars,67.2,65.199997,52.299999,44.099998,50.799999,50.900002,61.799999,47.5,49.299999,49.099998,53.700001,3273,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,x,x,x,x,Atlantic provinces,Cement manufacturing,Chained (2007) dollars,41.6,40.700001,36.700001,35.400002,41.700001,40.200001,35.5,28.4,24.799999,27,31,3273,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,x,x,x,x,Atlantic provinces,Cement manufacturing,Chained (2007) dollars,8.7,8.1000004,7.1999998,7.3000002,8.1000004,8.8999996,8.6999998,9.3000002,5.5999999,7.3000002,8.6999998,3273,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,x,x,x,x,Atlantic provinces,Cement manufacturing,Chained (2007) dollars,12.9,11.2,11.5,13.6,14.9,18,17.4,19.4,21.700001,31.4,35.900002,3273,0,0,1
Total primary and secondary energy,5916,7146,9589,7705,13239,12054,12469,x,x,x,x,Atlantic provinces,Refined petroleum products manufacturing,Chained (2007) dollars,846.5,821.09998,820.20001,893.79999,863.09998,837.79999,798.09998,806.20001,680.70001,728.90002,723.79999,324,0,0,1
Total primary and secondary energy,5916,7146,9589,7705,13239,12054,12469,x,x,x,x,Atlantic provinces,Refined petroleum products manufacturing,Chained (2007) dollars,0.4,.69999999,.40000001,.69999999,.69999999,.69999999,.5,.69999999,.60000002,.5,.60000002,324,0,0,1
Total primary and secondary energy,5916,7146,9589,7705,13239,12054,12469,x,x,x,x,Atlantic provinces,Refined petroleum products manufacturing,Chained (2007) dollars,282.2,253.7,254.60001,242.2,222.8,219,206.60001,158.10001,6,6.0999999,5.3000002,324,0,0,1
Total primary and secondary energy,5916,7146,9589,7705,13239,12054,12469,x,x,x,x,Atlantic provinces,Refined petroleum products manufacturing,Chained (2007) dollars,359.1,356.20001,358.89999,319.79999,305.89999,259.70001,340.5,321.60001,261.20001,289,275.29999,324,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,x,x,x,x,Atlantic provinces,Chemicals and fertilizers manufacturing,Chained (2007) dollars,11.7,9.6999998,10.8,10.8,13.1,12.5,14.4,9.8999996,5.8000002,7.1999998,8.8999996,325,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,x,x,x,x,Atlantic provinces,Chemicals and fertilizers manufacturing,Chained (2007) dollars,73.3,78.300003,82.699997,93.199997,109.5,109.6,92.900002,85.300003,87.599998,77.099998,84.900002,325,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,x,x,x,x,Atlantic provinces,Chemicals and fertilizers manufacturing,Chained (2007) dollars,28.1,34.400002,31,36.299999,32.900002,35,43.099998,52.799999,58.700001,69.400002,68.5,325,0,0,1
Total primary and secondary energy,x,x,x,x,x,x,x,x,x,x,x,Atlantic provinces,Chemicals and fertilizers manufacturing,Chained (2007) dollars,38.7,35.700001,20,20.5,18.299999,16,15.2,17.5,16.299999,17.6,20.1,325,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.0,0,0,0,0,0,0,0,0,0,0,3326,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,4.2,5.1999998,4.1999998,4.6999998,6.0999999,6.0999999,9.8999996,2.4000001,7.5999999,5.4000001,6.1999998,3364,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,18.5,18.299999,20.1,22.5,21.5,24.1,25.1,24.4,25.799999,31.5,31.700001,3334,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,3.2,3.7,3.5999999,3.9000001,3.8,3.7,4.5,3.9000001,3,2.5,1.8,3391,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.5,.69999999,.30000001,.2,.30000001,.80000001,1.3,1.3,1.1,.89999998,.60000002,327A,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,4.7,4.0999999,5,4.1999998,4.0999999,8.8999996,4.6999998,5.5,2.0999999,1.8,2.0999999,3353,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.0,.1,0,0,0,0,0,0,0,0,0,3351,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,13.6,17,9.8000002,6,4.9000001,5.5,5,6,7.6999998,9.3000002,10.7,3116,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,1.9,2.4000001,.1,.1,.1,.1,.2,.1,0,0,0,33635,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,3.3,2,4.0999999,4.0999999,6.9000001,5.6999998,6.4000001,4.8000002,2.5,3.0999999,4,3259,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,3.1,3.4000001,3,2.7,3,3,2.8,2.9000001,2.5,2.5,2.8,3111,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,5.6,5.8000002,6.8000002,6.3000002,6.5,7.1999998,6.5999999,8,7.4000001,7.0999999,6.8000002,3259,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,14.1,13,10.9,11.6,10.4,9.6000004,9,10.4,10.3,9.8999996,9.6999998,3391,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.0,0,0,0,0,0,0,0,0,0,0,33612,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.0,0,0,0,0,0,0,0,0,0,0,33611,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,63.1,55.400002,39.5,33.799999,37.099998,38.599998,40.099998,40.099998,39.599998,33.700001,37.5,3371,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.0,0,0,0,0,0,0,0,0,0,0,33634,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.4,.40000001,.5,.30000001,.1,.1,.1,0,0,0,0,3342,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,174.5,154.60001,142.2,136.5,150.60001,138.8,135.10001,157.2,159.39999,179.39999,190.5,3211,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.1,0,0,0,0,.40000001,.30000001,0,0,0,0,3262,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,2.3,3,3,3.4000001,3.8,4.5999999,4.5,3.4000001,3.8,3.7,3.5999999,3119,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.6,.5,.40000001,.5,.60000002,.80000001,.69999999,.5,.69999999,.60000002,.80000001,3328,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,25.7,35.099998,27.1,32.200001,29.200001,31.1,33.400002,40.700001,71.300003,69.099998,34.5,3323,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,50.0,46.900002,36.700001,28.700001,28.299999,27.9,25.299999,26.1,29.6,28.700001,31.4,339,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,33.0,28.6,28.799999,27.1,26.700001,26.4,24.799999,22.6,26.799999,28.5,29,3219,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,175.3,207.2,215.60001,201,200.10001,208,210.7,235.3,280.10001,268.39999,273.60001,311,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.0,0,.1,0,0,0,0,0,0,0,0,3365,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,18.0,16.5,6.8000002,4.8000002,5.8000002,6.8000002,7,2.9000001,3.4000001,4.4000001,5,3251,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.0,0,0,0,0,0,0,0,0,0,0,3365,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,1.1,1.3,1.4,1.3,1.2,1.1,.80000001,.69999999,.80000001,1.3,1.4,3351,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.0,0,0,0,0,0,0,0,0,0,0,3365,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,10.4,12.6,14.1,13.1,12.9,12.2,15.5,14.5,14.6,15.1,8.1000004,326,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,10.3,12.6,14.1,13.1,12.9,11.8,15.2,14.4,14.5,15,8,3261,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,53.8,61.799999,61.5,57.099998,50.799999,50.200001,53.400002,56.599998,50.5,49.5,54.099998,3364,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,2.3,1.8,.40000001,0,0,0,0,0,0,.60000002,.5,3312,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,1.0,1,.80000001,.89999998,.60000002,.69999999,.60000002,.40000001,.5,.1,0,33635,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,2.5,2.2,2.2,2.4000001,2.5999999,2.5,.2,.30000001,.30000001,.40000001,.1,3111,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,4.5,3.5999999,4.8000002,4.9000001,4.5,3.3,3.7,1.9,2.3,2.2,4.9000001,33639,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.4,.40000001,.40000001,.30000001,.30000001,.30000001,.40000001,.30000001,.30000001,.30000001,.30000001,3379,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,34.7,11,33.799999,34.299999,43.5,31.5,24.6,21.4,22.5,19.299999,17.799999,3342,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,..,3.2,3.5,2.4000001,2.5,4,4.0999999,3.4000001,3.0999999,2.5,2.3,3121A,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.0,0,2.0999999,2.5,2.5999999,0,0,0,0,0,0,3311,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,32.5,42,45.900002,54.5,53,50,43.200001,49.799999,53.200001,58,57,31212,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,25.3,28,23.4,24.5,39.599998,55.200001,52,43,29.200001,23.1,26.6,336,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,14.5,7.8000002,6.4000001,5.6999998,3.5,2.8,3.2,3.2,2.9000001,1.9,1.8,321,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.1,.2,.1,.2,.2,0,0,.1,.1,.1,.1,3256,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.0,0,0,1,.60000002,.69999999,.60000002,1,.60000002,.89999998,.69999999,3312,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,12.5,13.6,14.4,13.3,13.2,16.700001,11.5,13.7,17.6,16.5,15.3,3324,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.0,0,0,0,0,0,0,0,0,0,0,33639,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,3.5,4,4,3.7,4,3.8,4.0999999,.1,.1,.1,.1,31211,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,19.9,26.4,25.9,30,28.9,34.599998,46.5,56.400002,68.5,83.699997,79.5,3254,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,0.0,.2,0,.1,0,0,0,.69999999,0,0,0,3341,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,7.1,5.4000001,5.9000001,5.9000001,6.0999999,5.9000001,3.7,4.0999999,4.0999999,4.5,4.5,323,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,21.7,21.799999,15.4,7.5,6.8000002,8.1000004,7.9000001,6.4000001,6.6999998,5.1999998,9.3999996,3339,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,32.5,35,37.799999,9.8000002,25.799999,30.1,22.4,18,14.5,11.6,9.6000004,334,0,0,1
Total primary and secondary energy,23316,23654,22132,22126,24911,21772,23957,24411,19963,18137,18002,Atlantic provinces,All other manufacturing,Chained (2007) dollars,1.0,1,.60000002,.5,.2,.2,0,0,0,0,0,326,0,0,1
